22 231
0 1 1
0 2 4
0 3 1
0 4 2
0 5 5
0 6 3
0 7 3
0 8 5
0 9 6
0 10 5
0 11 4
0 12 6
0 13 5
0 14 3
0 15 4
0 16 5
0 17 5
0 18 4
0 19 3
0 20 2
0 21 2
1 2 3
1 3 2
1 4 1
1 5 4
1 6 4
1 7 2
1 8 4
1 9 5
1 10 6
1 11 3
1 12 6
1 13 6
1 14 4
1 15 3
1 16 4
1 17 5
1 18 3
1 19 4
1 20 3
1 21 1
2 3 3
2 4 2
2 5 1
2 6 4
2 7 3
2 8 3
2 9 2
2 10 4
2 11 4
2 12 4
2 13 5
2 14 6
2 15 5
2 16 3
2 17 4
2 18 2
2 19 4
2 20 5
2 21 4
3 4 1
3 5 4
3 6 2
3 7 2
3 8 4
3 9 5
3 10 4
3 11 3
3 12 6
3 13 5
3 14 3
3 15 4
3 16 6
3 17 6
3 18 5
3 19 4
3 20 3
3 21 3
4 5 3
4 6 3
4 7 1
4 8 3
4 9 4
4 10 5
4 11 2
4 12 6
4 13 6
4 14 4
4 15 3
4 16 5
4 17 6
4 18 4
4 19 5
4 20 4
4 21 2
5 6 3
5 7 2
5 8 2
5 9 1
5 10 3
5 11 3
5 12 3
5 13 4
5 14 5
5 15 4
5 16 3
5 17 4
5 18 3
5 19 5
5 20 6
5 21 5
6 7 2
6 8 4
6 9 4
6 10 2
6 11 3
6 12 4
6 13 3
6 14 3
6 15 4
6 16 6
6 17 5
6 18 6
6 19 4
6 20 3
6 21 5
7 8 2
7 9 3
7 10 4
7 11 1
7 12 5
7 13 5
7 14 3
7 15 2
7 16 5
7 17 6
7 18 5
7 19 6
7 20 5
7 21 3
8 9 1
8 10 3
8 11 1
8 12 3
8 13 4
8 14 3
8 15 2
8 16 3
8 17 4
8 18 4
8 19 6
8 20 6
8 21 4
9 10 2
9 11 2
9 12 2
9 13 3
9 14 4
9 15 3
9 16 2
9 17 3
9 18 3
9 19 5
9 20 6
9 21 5
10 11 3
10 12 2
10 13 1
10 14 3
10 15 4
10 16 4
10 17 3
10 18 5
10 19 3
10 20 4
10 21 6
11 12 4
11 13 4
11 14 2
11 15 1
11 16 4
11 17 5
11 18 5
11 19 6
11 20 5
11 21 3
12 13 1
12 14 3
12 15 3
12 16 2
12 17 1
12 18 3
12 19 3
12 20 4
12 21 5
13 14 2
13 15 3
13 16 3
13 17 2
13 18 4
13 19 2
13 20 3
13 21 5
14 15 1
14 16 4
14 17 4
14 18 5
14 19 4
14 20 3
14 21 3
15 16 3
15 17 4
15 18 4
15 19 5
15 20 4
15 21 2
16 17 1
16 18 1
16 19 3
16 20 4
16 21 3
17 18 2
17 19 2
17 20 3
17 21 4
18 19 2
18 20 3
18 21 2
19 20 1
19 21 3
20 21 2
