20 190
0 1 1
0 2 1
0 3 3
0 4 2
0 5 3
0 6 5
0 7 6
0 8 5
0 9 4
0 10 5
0 11 8
0 12 8
0 13 5
0 14 6
0 15 2
0 16 4
0 17 5
0 18 6
0 19 6
1 2 2
1 3 4
1 4 3
1 5 2
1 6 4
1 7 6
1 8 6
1 9 5
1 10 6
1 11 7
1 12 8
1 13 4
1 14 5
1 15 3
1 16 3
1 17 4
1 18 5
1 19 6
2 3 2
2 4 1
2 5 2
2 6 4
2 7 5
2 8 4
2 9 3
2 10 4
2 11 7
2 12 7
2 13 6
2 14 7
2 15 3
2 16 5
2 17 6
2 18 7
2 19 7
3 4 1
3 5 2
3 6 4
3 7 3
3 8 2
3 9 1
3 10 2
3 11 6
3 12 5
3 13 7
3 14 8
3 15 5
3 16 7
3 17 8
3 18 8
3 19 7
4 5 1
4 6 3
4 7 4
4 8 3
4 9 2
4 10 3
4 11 6
4 12 6
4 13 6
4 14 7
4 15 4
4 16 6
4 17 7
4 18 8
4 19 8
5 6 2
5 7 4
5 8 4
5 9 3
5 10 4
5 11 5
5 12 6
5 13 5
5 14 6
5 15 5
5 16 5
5 17 6
5 18 7
5 19 8
6 7 2
6 8 3
6 9 5
6 10 6
6 11 3
6 12 4
6 13 5
6 14 4
6 15 7
6 16 5
6 17 4
6 18 5
6 19 6
7 8 1
7 9 4
7 10 5
7 11 3
7 12 2
7 13 7
7 14 6
7 15 8
7 16 7
7 17 6
7 18 5
7 19 4
8 9 3
8 10 4
8 11 4
8 12 3
8 13 8
8 14 7
8 15 7
8 16 8
8 17 7
8 18 6
8 19 5
9 10 1
9 11 5
9 12 4
9 13 6
9 14 7
9 15 5
9 16 7
9 17 8
9 18 8
9 19 7
10 11 4
10 12 3
10 13 5
10 14 6
10 15 4
10 16 6
10 17 7
10 18 7
10 19 6
11 12 1
11 13 4
11 14 3
11 15 7
11 16 5
11 17 4
11 18 3
11 19 4
12 13 5
12 14 4
12 15 7
12 16 6
12 17 5
12 18 4
12 19 3
13 14 1
13 15 3
13 16 1
13 17 2
13 18 3
13 19 4
14 15 4
14 16 2
14 17 1
14 18 2
14 19 3
15 16 2
15 17 3
15 18 4
15 19 4
16 17 1
16 18 2
16 19 3
17 18 1
17 19 2
18 19 1
