44 946
0 1 4
0 2 2
0 3 1
0 4 5
0 5 5
0 6 4
0 7 3
0 8 2
0 9 3
0 10 5
0 11 6
0 12 5
0 13 4
0 14 4
0 15 3
0 16 5
0 17 6
0 18 7
0 19 5
0 20 6
0 21 8
0 22 5
0 23 7
0 24 8
0 25 8
0 26 6
0 27 4
0 28 4
0 29 5
0 30 6
0 31 7
0 32 7
0 33 6
0 34 5
0 35 2
0 36 4
0 37 6
0 38 5
0 39 4
0 40 2
0 41 3
0 42 5
0 43 5
1 2 5
1 3 5
1 4 1
1 5 2
1 6 3
1 7 6
1 8 6
1 9 5
1 10 3
1 11 3
1 12 4
1 13 5
1 14 7
1 15 7
1 16 5
1 17 4
1 18 4
1 19 6
1 20 6
1 21 5
1 22 8
1 23 5
1 24 4
1 25 5
1 26 7
1 27 7
1 28 6
1 29 5
1 30 4
1 31 3
1 32 4
1 33 5
1 34 6
1 35 6
1 36 4
1 37 3
1 38 4
1 39 5
1 40 5
1 41 3
1 42 1
1 43 2
2 3 1
2 4 4
2 5 3
2 6 2
2 7 1
2 8 2
2 9 3
2 10 5
2 11 4
2 12 3
2 13 2
2 14 2
2 15 3
2 16 5
2 17 6
2 18 5
2 19 3
2 20 6
2 21 6
2 22 4
2 23 8
2 24 8
2 25 7
2 26 5
2 27 4
2 28 6
2 29 7
2 30 8
2 31 8
2 32 7
2 33 6
2 34 5
2 35 4
2 36 6
2 37 6
2 38 5
2 39 4
2 40 2
2 41 5
2 42 6
2 43 5
3 4 4
3 5 4
3 6 3
3 7 2
3 8 1
3 9 2
3 10 4
3 11 5
3 12 4
3 13 3
3 14 3
3 15 2
3 16 4
3 17 5
3 18 6
3 19 4
3 20 5
3 21 7
3 22 5
3 23 7
3 24 8
3 25 8
3 26 6
3 27 5
3 28 5
3 29 6
3 30 7
3 31 8
3 32 8
3 33 7
3 34 6
3 35 3
3 36 5
3 37 7
3 38 6
3 39 5
3 40 3
3 41 4
3 42 6
3 43 6
4 5 1
4 6 2
4 7 5
4 8 5
4 9 4
4 10 2
4 11 2
4 12 3
4 13 4
4 14 6
4 15 6
4 16 4
4 17 3
4 18 3
4 19 5
4 20 5
4 21 4
4 22 8
4 23 5
4 24 4
4 25 5
4 26 7
4 27 8
4 28 7
4 29 6
4 30 5
4 31 4
4 32 5
4 33 6
4 34 7
4 35 7
4 36 5
4 37 4
4 38 5
4 39 6
4 40 6
4 41 4
4 42 2
4 43 3
5 6 1
5 7 4
5 8 5
5 9 5
5 10 3
5 11 1
5 12 2
5 13 3
5 14 5
5 15 6
5 16 5
5 17 4
5 18 2
5 19 4
5 20 6
5 21 3
5 22 7
5 23 6
5 24 5
5 25 4
5 26 6
5 27 7
5 28 8
5 29 7
5 30 6
5 31 5
5 32 4
5 33 5
5 34 6
5 35 7
5 36 6
5 37 3
5 38 4
5 39 5
5 40 5
5 41 5
5 42 3
5 43 2
6 7 3
6 8 4
6 9 5
6 10 4
6 11 2
6 12 1
6 13 2
6 14 4
6 15 5
6 16 6
6 17 5
6 18 3
6 19 3
6 20 7
6 21 4
6 22 6
6 23 7
6 24 6
6 25 5
6 26 5
6 27 6
6 28 8
6 29 8
6 30 7
6 31 6
6 32 5
6 33 4
6 34 5
6 35 6
6 36 7
6 37 4
6 38 3
6 39 4
6 40 4
6 41 6
6 42 4
6 43 3
7 8 1
7 9 2
7 10 4
7 11 3
7 12 2
7 13 1
7 14 1
7 15 2
7 16 4
7 17 5
7 18 4
7 19 2
7 20 5
7 21 5
7 22 3
7 23 7
7 24 7
7 25 6
7 26 4
7 27 4
7 28 6
7 29 7
7 30 8
7 31 8
7 32 7
7 33 6
7 34 5
7 35 5
7 36 7
7 37 7
7 38 6
7 39 5
7 40 3
7 41 6
7 42 7
7 43 6
8 9 1
8 10 3
8 11 4
8 12 3
8 13 2
8 14 2
8 15 1
8 16 3
8 17 4
8 18 5
8 19 3
8 20 4
8 21 6
8 22 4
8 23 6
8 24 7
8 25 7
8 26 5
8 27 5
8 28 5
8 29 6
8 30 7
8 31 8
8 32 8
8 33 7
8 34 6
8 35 4
8 36 6
8 37 8
8 38 7
8 39 6
8 40 4
8 41 5
8 42 7
8 43 7
9 10 2
9 11 4
9 12 4
9 13 3
9 14 3
9 15 2
9 16 2
9 17 3
9 18 5
9 19 4
9 20 3
9 21 6
9 22 5
